ServiceNumber,LGILInteractionNo,ServiceName,LGChLChannelNo,ChannelAddress
349,4,Pay for business advice - miscellaneous payments,1,
388,0,Apply for licences - sex shops,1,
388,8,Find out about licences - sex shops,1,
388,9,Regulation of licences - sex shops,1,
388,11,Changing circumstances licences - sex shops,1,
390,0,Apply for food premises registration,1,
390,8,Find out about food premises registration,1,
390,9,Registration of food premises registration,1,
390,11,Changing circumstances food premises registration,1,
393,0,Apply for licences- public entertainment,1,
393,8,Find out about licences- public entertainment,1,
393,9,Regulation for licences- public entertainment,1,
393,11,Changing circumstances - public entertainment,1,
400,0,Apply for licences - street trading,1,
400,8,Find out about licences - street trading,1,
400,9,Regulation of licences - street trading,1
400,11,Changing circumstances for licences - street trading,1
678,0,Apply for licences- Sunday trading notification,1
678,8,Find out about licences- Sunday trading notification,1
678,9,Regulation for licences- Sunday trading notification,1
680,0,Apply for registration - tattooists piercing and electrolysis,1
680,8,Find out about registration - tattooists piercing and electrolysis,1
680,9,Regulation of registration - tattooists piercing and electrolysis,1
680,11,Changing circumstances for registration - tattooists piercing and electrolysis,1
694,0,Apply for licences - hairdressers,1
694,8,Find out about licences - hairdressers,1
694,9,Regulation of licences - hairdressers,1
694,11,Changing circumstances for licences - hairdressers,1
707,0,Apply for  cooling tower registration  ,1
707,8,Find out about  cooling tower registration  ,1
707,9,Regulation of cooling tower registration,1
707,11,Changing circumstances for cooling tower registration,1
739,0,Apply for licences - pleasure boats,1
739,8,Find out about licences - pleasure boats,1
739,9,Regulation of licences - pleasure boats,1
739,11,Changing circumstances for licences - pleasure boats,1
743,0,Apply for licences - caravan sites,1
743,8,Find out about licences - caravan sites,1
743,9,Regulation of licences - caravan sites,1
743,11,Changing circumstances for licences - caravan sites,1
810,0,Apply for licences - storage of petroleum,1
810,8,Find out about licences - storage of petroleum,1
810,9,Regulation of licences - storage of petroleum,1
810,11,Changing circumstances for licences - storage of petroleum,1
842,0,Apply for safety certificates for sports grounds,1
842,8,Find out about - safety certificates for sports grounds,1
842,9,Regulation of - safety certificates for sports grounds,1
842,11,Changing circumstances safety certificates for sports grounds,1
1236,0,Apply for licences - guard dog kennels,1
1236,8,Find out about licences - guard dog kennels,1
1236,9,Regulation for licences - guard dog kennels,1
1236,11,Changing circumstances for licences - guard dog kennels,1
1237,0,Apply for local air pollution control authorisation,1
1237,8,Find out about local air pollution control authorisation,1
1237,9,Regulation of  local air pollution control authorisation,1
1237,11,Changing circumstances for local air pollution control authorisation,1
1256,0,Apply for: Safety certificate - sports grounds - regulated stands,1
1256,8,Find out about - Safety certificate - sports grounds - regulated stands,1
1256,9,Regulation of Safety certificate - sports grounds - regulated stands,1
1256,11,Changing circumstances Safety certificate - sports grounds - regulated stands,1
1293,0,Apply for food premises - approval ,1
1293,8,Find out about food premises - approval ,1
1293,9,Regulation of food premises - approval ,1
1293,11,Changing circumstances for food premises - approval,1
1296,0,Apply for approval of premises for civil marriage and civil partnership,1
1296,8,Find out about approval of premises for civil marriage and civil partnership,1
1296,9,Regulation of approval of premises for civil marriage and civil partnership,1
1296,11,Changing circumstances for approval of premises for civil marriage and civil partnership,1
1344,0,Apply for a certificate of fitness for a property built before 1945,1
1344,8,Regulation for a certificate of fitness for a property built before 1945,1
1344,9,Changing circumstances for a certificate of fitness for a property built before 1945,1
